Accession,Gene Symbol
Q61103,Dpf2
Q62190,Mst1r
Q69ZX6,Morc2a
Q6NXM2,Rcbtb1
Q6PFR5,Tra2a
Q6PI62,Gpr173
Q7TMB3,Ppp1r3c
Q7TN29,Smap2
Q7TRG2,Or7g27
Q80X56,Trim69
Q810D6,Grwd1
Q8BG27,9930022D16Rik
Q8BX17,Gemin5
Q8BXR1,Slc7a14
Q8C078,Camkk2
Q8C9M2,Ccdc15
Q8CEG0,Panx3
Q8K072,Reep4
Q8K1M6,Dnm1l
Q8R1B4,Eif3c
Q8R412,Ifi27l2a
Q8VE62,Paip1
Q8VFA7,Or2y1g
Q8VHR5,Gatad2b
Q8VHS6,Asb15
Q91V83,Tti1
Q91VE6,Nifk
Q91VK1,Bzw2
Q91Z40,Gbp7
Q99J10,Ctu1
Q99JL1,Spef1
Q99JW4,Lims1
Q99PI4,Lpin3
Q99PU8,Dhx30
Q9CX11,Utp23
Q9D2G5,Synj2
Q9D2V7,Coro7
Q9D2Z1,Ceacam20
Q9D646,Krt34
Q9D805,Capn9
Q9DAG4,Spmip9
Q9DCI9,Mrpl32
Q9ESN6,Trim2
Q9JIG8,Praf2
Q9JM52,Mink1
Q9QZ25,Vnn3
Q9R007,Clec5a
Q9R0D8,Wdr54
Q9WV18,Gabbr1
Q9Z0F5,Ch25h
Q9Z0S3,Cldn14
A0A075B607,Trav14-3
A0A087WQP5,Krtap28-13
A0A1Y7VJE6,Gm36864
A0A9L6KDZ6,N/A
A0ABA7IXG2,Rbakdn
A2A8U2,Tmem201
D3Z3H0,Ino80e
E0CXP6,Umad1
E9Q0Y7,Or10z1
E9Q0Z1,Or6s1
E9Q4T4,Ccdc71l
E9Q876,Abca12
G3UWE6,Vmn1r39
G3XA57,Rab11fip2
O09000,Ncoa3
O35963,Rab33b
O70169,Prss39
O88245,Zfp1000
O88634,F2rl3
O89023,Tpp1
O89033,Cdc6
P05064,Aldoa
P10078,Zfp28
P20722,Bmp6
P27681,Gabrg3
P31361,Pou3f3
P31362,Pou2f3
P31532,Saa4
P41245,Mmp9
P51791,Clcn3
P53762,Arnt
P59016,Vps33b
P70168,Kpnb1
P70372,Elavl1
P84102,Serf2
Q0VE82,Cpne7
Q11127,Fut4
Q3LRV9,Treml4
Q3TJZ6,Fam98a
Q3UEZ8,Slc10a4
Q3UNZ2,Ldc1
Q3V0I7,Akap14
Q60764,Mkrn3
Q60848,Hells
Q60854,Serpinb6
Q61481,Pde1a
Q61824,Adam12
Q64364,Cdkn2a
Q64429,Cyp1b1
Q64700,Rbl2
Q689Z5,Sbno1
Q6NVE9,Pptc7
Q6PF93,Pik3c3
Q7TRM9,Or10a4
Q7TRN4,Or2ag16
Q80U87,Usp8
Q80WK2,Slc51b
Q810A1,Znf18
Q811B3,Adamts12
Q8BGD5,Cpt1c
Q8BHN3,Ganab
Q8BHT6,B3glct
Q8BMP6,Acbd3
Q8BUL5,Klhl7
Q8BZ98,Dnm3
Q8BZH1,Tgm4
Q8C0E6,Zfp286
Q8C0X0,Lca5l
Q8C1F5,Ttc16
Q8C208,Ikzf4
Q8C263,Ska3
Q8K093,Trhde
Q8K0L3,Acsm2
Q8K1A5,Tmem41b
Q8K1L5,Ppp1r11
Q8R164,Bphl
Q8R2A8,Vmn1r226
Q8R2Y2,Mcam
Q8VCT9,Tesk2
Q8VG94,Or2n1b
Q8VHQ9,Acot11
Q99K48,Nono
Q9CQN1,Trap1
Q9CW07,Ppp1r3g
Q9CZN8,Qrsl1
Q9D1Z2,N/A
Q9D476,4933407L21Rik
Q9D565,Wdr64
Q9D6U8,Fam162a
Q9D7A6,Srp19
Q9D816,Cyp2c55
Q9DCR4,Eid1
Q9ERD8,Parvg
Q9ES97,Rtn3
Q9JJI8,Rpl38
Q9JJY8,Il22b
Q9JKF4,Clec6a
Q9JLI2,Col5a3
Q9WV56,Gdf2
